U (V)	F (N)	pos(deg)	elongation (mm)	t (s)
2.95	-3.42765522	10.72265625	4.210777262746085	4.869990825653076
2.95	-3.42430162	10.72265625	4.210777262746085	4.978394031524658
2.95	-3.4007225	10.72265625	4.210777262746085	5.088764667510986
2.95	-3.44499135	10.72265625	4.210777262746085	5.2009782791137695
2.95	-3.47615504	10.72265625	4.210777262746085	5.309232234954834
3.12	-0.08932793	0.0	0.0	0.0
3.13	-0.15279033	0.17578125	0.06902913545485385	0.11051464080810547
3.12	-0.31614155	0.52734375	0.20708740636456158	0.22098827362060547
3.12	-0.43434648	0.615234375	0.2416019740919885	0.3323698043823242
3.12	-0.53996257	1.318359375	0.5177185159114039	0.44164609909057617
3.11	-0.78070693	1.58203125	0.6212622190936846	0.6403672695159912
3.11	-0.92192373	2.197265625	0.8628641931856732	0.7497506141662598
3.1	-1.12035977	2.8125	1.1044661672776617	0.8616156578063965
3.1	-1.20621466	2.98828125	1.1734953027325155	0.972557783126831
3.09	-1.14043045	3.33984375	1.3115535736422232	1.0806488990783691
3.09	-1.25254738	5.09765625	2.0018449281907618	1.2143347263336182
3.08	-1.67382421	5.009765625	1.9673303604633348	1.4330353736877441
3.07	-1.70472979	5.09765625	2.0018449281907618	1.5432493686676025
3.07	-1.60076498	5.09765625	2.0018449281907618	1.654320478439331
3.06	-1.82701101	5.9765625	2.346990605465031	1.7640013694763184
3.05	-2.17192673	6.6796875	2.6231071472844465	1.8740575313568115
3.04	-2.25365376	6.6796875	2.6231071472844465	1.9839608669281006
3.04	-2.25984525	6.767578125	2.6576217150118735	2.0945208072662354
3.03	-2.39837932	7.55859375	2.9682528245587156	2.2066731452941895
3.03	-2.47350215	7.55859375	2.9682528245587156	2.314938545227051
3.03	-2.4570949	7.55859375	2.9682528245587156	2.4273712635040283
3.01	-2.85128402	8.26171875	3.2443693663781312	2.6451592445373535
3.01	-2.81944961	8.26171875	3.2443693663781312	2.757404327392578
3.0	-2.93615865	8.349609375	3.2788839341055582	2.867936134338379
2.99	-3.3218863	9.580078125	3.762087882289535	2.977796792984009
2.98	-3.49194478	9.580078125	3.762087882289535	3.086101531982422
2.98	-3.37611293	9.66796875	3.796602450016962	3.1981818675994873
2.97	-3.24929141	9.66796875	3.796602450016962	3.307142734527588
2.97	-3.230201	9.66796875	3.796602450016962	3.4165947437286377
2.97	-3.25326418	9.66796875	3.796602450016962	3.549551486968994
2.97	-3.28597569	9.66796875	3.796602450016962	3.6596357822418213
2.96	-3.71174168	11.07421875	4.348835533655793	3.881430149078369
2.95	-3.8586338	11.162109375	4.383350101383219	4.1001877784729
2.95	-3.84470291	11.162109375	4.383350101383219	4.2115325927734375
2.94	-3.82432289	11.162109375	4.383350101383219	4.320610046386719
2.94	-3.79615163	11.162109375	4.383350101383219	4.430678844451904
2.94	-3.74115109	11.162109375	4.383350101383219	4.540956497192383
2.93	-3.68052625	11.25	4.417864669110647	4.653338432312012
2.94	-3.64931082	11.25	4.417864669110647	4.763040065765381
2.93	-4.04303598	12.568359375	4.93558318502205	4.872979164123535
2.92	-4.2695918	12.65625	4.970097752749477	4.981567621231079
2.92	-4.22243356	12.65625	4.970097752749477	5.0934953689575195
2.92	-4.23724126	12.65625	4.970097752749477	5.2028138637542725
