U (V)	F (N)	pos(deg)	elongation (mm)	t (s)
3.12	0.03143608	0.0	0.0	0.0
3.12	0.04547003	0.087890625	0.03451456772742693	0.1110231876373291
3.12	0.10851968	0.263671875	0.10354370318228079	0.22216176986694336
3.12	0.19943084	0.3515625	0.1380582709097077	0.3308272361755371
3.12	0.25231637	0.52734375	0.20708740636456158	0.44148755073547363
3.12	0.33481731	0.703125	0.2761165418194154	0.5511569976806641
3.12	0.46230988	1.142578125	0.44868938045655005	0.6389858722686768
3.12	0.58815097	1.23046875	0.483203948183977	0.7511491775512695
3.12	0.67400579	1.845703125	0.7248059222759655	0.8602700233459473
3.12	0.79922819	2.109375	0.8283496254582463	0.9698822498321533
3.11	0.97465267	2.724609375	1.0699515995502347	1.0822815895080566
3.11	1.08898818	3.515625	1.380582709097077	1.1911523342132568
3.11	1.06453192	3.515625	1.380582709097077	1.3004634380340576
3.11	1.21818327	4.833984375	1.898301225008481	1.4104723930358887
3.11	1.34232187	5.009765625	1.9673303604633348	1.5210776329040527
3.11	1.37080252	5.009765625	1.9673303604633348	1.632800817489624
3.1	1.5451951	5.80078125	2.277961470010177	1.7425713539123535
3.09	1.78274059	6.240234375	2.450534308647312	1.8515715599060059
3.09	1.87334213	6.328125	2.4850488763747385	1.9617831707000732
3.09	1.91957178	6.416015625	2.519563444102166	2.071796178817749
3.07	2.16537237	7.294921875	2.864709121376435	2.18204665184021
3.07	2.46302676	7.998046875	3.14082566319585	2.294248580932617
3.06	2.59898066	7.998046875	3.14082566319585	2.402773141860962
3.05	2.58288288	8.0859375	3.175340230923277	2.5126030445098877
3.05	2.43789982	8.0859375	3.175340230923277	2.62469744682312
3.05	2.3366177	7.998046875	3.14082566319585	2.733330011367798
3.04	2.23368477	7.998046875	3.14082566319585	2.8437490463256836
3.04	2.05877637	7.998046875	3.14082566319585	2.955244779586792
3.04	2.10970091	7.998046875	3.14082566319585	3.1755077838897705
3.03	2.70609283	9.228515625	3.624029611379827	3.3078386783599854
3.03	2.91190719	9.31640625	3.6585441791072544	3.4164819717407227
3.02	2.87114696	9.31640625	3.6585441791072544	3.527271032333374
3.02	2.85571975	9.31640625	3.6585441791072544	3.6363725662231445
3.02	2.85907344	9.31640625	3.6585441791072544	3.746837615966797
3.02	2.85783529	9.31640625	3.6585441791072544	3.8589632511138916
3.01	2.84282093	9.31640625	3.6585441791072544	3.969308376312256
3.01	2.85577125	9.31640625	3.6585441791072544	4.079278945922852
3.01	2.82465915	9.404296875	3.6930587468346814	4.188095569610596
3.01	2.7673881	9.4921875	3.727573314562108	4.29981255531311
3.0	2.7738378	9.4921875	3.727573314562108	4.431638956069946
3.01	2.78998684	9.4921875	3.727573314562108	4.541133403778076
3.0	3.06225633	9.931640625	3.900146153199243	4.65263557434082
2.98	3.85914821	12.216796875	4.797524914112342	4.762471914291382
2.98	4.14545154	12.216796875	4.797524914112342	4.870956659317017
2.97	4.06821298	12.216796875	4.797524914112342	4.98136043548584
2.97	3.99675321	12.3046875	4.83203948183977	5.091695785522461
2.96	3.87106657	12.3046875	4.83203948183977	5.2017295360565186
2.96	3.82205085	12.3046875	4.83203948183977	5.316548109054565
